fp,county,state,never,rarely,sometimes,frequently,always
29033,Chariton,MO,0.155,0.13,0.078,0.286,0.351
24009,Charles,MD,0.049,0.049,0.071,0.11,0.72
51031,Charles City,VA,0.07,0.04,0.083,0.222,0.585
46017,Charles Mix,SD,0.161,0.059,0.157,0.253,0.371
45013,Charleston,SC,0.038,0.027,0.055,0.147,0.733
26021,Charlevoix,MI,0.039,0.037,0.122,0.247,0.555
12009,Charlotte,FL,0.068,0.073,0.096,0.157,0.607
51033,Charlotte,VA,0.047,0.032,0.031,0.14,0.75
51520,Charlottesville City,VA,0.174,0.125,0.075,0.273,0.352
13043,Charlton,GA,0.037,0.045,0.177,0.264,0.477
20009,Chase,KS,0.107,0.131,0.12,0.211,0.43
31023,Chase,NE,0.027,0.105,0.263,0.238,0.365
13045,Chatham,GA,0.089,0.133,0.154,0.168,0.457
37031,Chatham,NC,0.01,0.067,0.167,0.197,0.56
13047,Chattahoochee,GA,0.143,0.152,0.114,0.217,0.375
13049,Chattooga,GA,0.065,0.094,0.15,0.196,0.495
20011,Chautauqua,KS,0.167,0.146,0.077,0.12,0.49
36007,Chautauqua,NY,0.044,0.028,0.051,0.066,0.812
34041,Chaves,NM,0.035,0.02,0.044,0.152,0.749
47015,Cheatham,TN,0.209,0.089,0.238,0.182,0.282
26023,Cheboygan,MI,0.072,0.091,0.205,0.234,0.399
53007,Chelan,WA,0.062,0.048,0.029,0.297,0.564
36009,Chemung,NY,0.015,0.013,0.024,0.156,0.793
36011,Chenango,NY,0,0.033,0.072,0.162,0.732
1019,Cherokee,AL,0.135,0.027,0.161,0.158,0.52
13051,Cherokee,GA,0.035,0.04,0.144,0.158,0.624
19027,Cherokee,IA,0.153,0.11,0.241,0.139,0.358
20013,Cherokee,KS,0.089,0.149,0.183,0.197,0.382
37033,Cherokee,NC,0.06,0.035,0.199,0.179,0.527
40015,Cherokee,OK,0.013,0.111,0.194,0.239,0.444
45015,Cherokee,SC,0.05,0.074,0.107,0.171,0.597
48067,Cherokee,TX,0.034,0.145,0.17,0.209,0.441
31025,Cherry,NE,0.042,0.049,0.119,0.24,0.55
51530,Chesapeake City,VA,0.018,0.15,0.068,0.125,0.639
32510,Cheshire,NH,0.023,0.064,0.054,0.274,0.585
42023,Chester,PA,0.147,0.014,0.048,0.142,0.649
45017,Chester,SC,0.06,0.047,0.129,0.173,0.592
47017,Chester,TN,0.179,0.088,0.163,0.234,0.337
45019,Chesterfield,SC,0.036,0.059,0.062,0.186,0.657
51035,Chesterfield,VA,0.064,0.073,0.084,0.285,0.496
8013,Cheyenne,CO,0.008,0.015,0.032,0.195,0.75
20015,Cheyenne,KS,0.053,0.133,0.122,0.222,0.47
31027,Cheyenne,NE,0.207,0.163,0.161,0.177,0.293
19029,Chickasaw,IA,0.341,0.07,0.124,0.238,0.227
28009,Chickasaw,MS,0.018,0.014,0.246,0.233,0.489
5013,Chicot,AR,0.145,0.132,0.108,0.211,0.404
48069,Childress,TX,0.057,0.051,0.043,0.296,0.553
1021,Chilton,AL,0.06,0.07,0.058,0.194,0.618
26025,Chippewa,MI,0.063,0.121,0.078,0.178,0.559
27015,Chippewa,MN,0.101,0.061,0.251,0.265,0.322
55017,Chippewa,WI,0.059,0.098,0.184,0.246,0.414
27017,Chisago,MN,0.058,0.054,0.09,0.329,0.469
50001,Chittenden,VT,0.029,0.045,0.086,0.139,0.702
1023,Choctaw,AL,0.049,0.038,0.126,0.219,0.568
28011,Choctaw,MS,0.123,0.046,0.127,0.249,0.456
40017,Choctaw,OK,0.043,0.073,0.103,0.309,0.472
30007,Chouteau,MT,0.165,0.098,0.099,0.199,0.439
37035,Chowan,NC,0.035,0.07,0.13,0.214,0.551
17013,Christian,IL,0.082,0.06,0.219,0.366,0.273
21039,Christian,KY,0.104,0.045,0.188,0.236,0.428
29035,Christian,MO,0.159,0.285,0.151,0.125,0.281
31181,Churchill,NV,0.091,0.167,0.068,0.286,0.389
35001,Cibola,NM,0.036,0.014,0.057,0.135,0.758
40019,Cimarron,OK,0.128,0.169,0.138,0.213,0.351
12011,Citrus,FL,0.026,0.023,0.043,0.117,0.791
40153,Clackamas,OR,0.146,0.232,0.145,0.247,0.229
22019,Claiborne,LA,0.102,0.139,0.077,0.212,0.471
28013,Claiborne,MS,0.074,0.161,0.092,0.179,0.494
47019,Claiborne,TN,0.115,0.031,0.151,0.215,0.487
53009,Clallam,WA,0.001,0,0.028,0.225,0.746
26027,Clare,MI,0.046,0.076,0.123,0.274,0.48
45021,Clarendon,SC,0.088,0.083,0.121,0.179,0.528
42025,Clarion,PA,0.013,0.062,0.015,0.145,0.764
5015,Clark,AR,0.111,0.068,0.115,0.129,0.577
16025,Clark,ID,0.186,0.03,0.047,0.098,0.639
17015,Clark,IL,0.03,0.064,0.12,0.19,0.596
18011,Clark,IN,0.052,0.085,0.142,0.308,0.413
20017,Clark,KS,0.151,0.082,0.212,0.225,0.331
21041,Clark,KY,0.155,0.171,0.12,0.208,0.346
29037,Clark,MO,0.027,0.082,0.17,0.185,0.535
31183,Clark,NV,0.162,0.084,0.155,0.201,0.399
39017,Clark,OH,0.047,0.072,0.106,0.244,0.531
46019,Clark,SD,0.12,0.085,0.153,0.204,0.438
53011,Clark,WA,0.02,0.021,0.048,0.17,0.741
55019,Clark,WI,0.162,0.149,0.158,0.146,0.384
1025,Clarke,AL,0.049,0.088,0.164,0.268,0.43
13053,Clarke,GA,0.061,0.072,0.108,0.214,0.545
19031,Clarke,IA,0.026,0.096,0.142,0.355,0.381
28015,Clarke,MS,0.08,0.144,0.119,0.12,0.537
51036,Clarke,VA,0.017,0.02,0.103,0.177,0.683
41001,Clatsop,OR,0.051,0.189,0.179,0.189,0.392
1027,Clay,AL,0.148,0.158,0.195,0.169,0.329
5017,Clay,AR,0.104,0.074,0.193,0.097,0.531
12013,Clay,FL,0.034,0.055,0.138,0.267,0.507
13055,Clay,GA,0.116,0.102,0.187,0.143,0.451
19033,Clay,IA,0.061,0.365,0.146,0.213,0.215
17017,Clay,IL,0.103,0.08,0.19,0.187,0.441
18013,Clay,IN,0.055,0.061,0.041,0.184,0.66
20019,Clay,KS,0.128,0.137,0.185,0.214,0.337
21043,Clay,KY,0.069,0.102,0.122,0.324,0.383
27019,Clay,MN,0.024,0.128,0.183,0.296,0.368
29039,Clay,MO,0.275,0.056,0.173,0.155,0.341
28017,Clay,MS,0.07,0.134,0.088,0.182,0.525
37037,Clay,NC,0.007,0.025,0.063,0.139,0.766
31029,Clay,NE,0.055,0.192,0.156,0.232,0.364
46021,Clay,SD,0.155,0.167,0.122,0.277,0.278
47021,Clay,TN,0.018,0.067,0.155,0.28,0.48
48071,Clay,TX,0.027,0.094,0.078,0.201,0.6
54015,Clay,WV,0.098,0.097,0.162,0.152,0.491
13057,Clayton,GA,0.049,0.054,0.1,0.213,0.584
19035,Clayton,IA,0.183,0.105,0.221,0.182,0.309
8014,Clear Creek,CO,0.018,0.005,0.042,0.201,0.734
42027,Clearfield,PA,0.017,0.013,0.076,0.101,0.792
16027,Clearwater,ID,0.113,0.095,0.17,0.24,0.381
27021,Clearwater,MN,0.105,0.127,0.107,0.235,0.426
1029,Cleburne,AL,0.151,0.125,0.138,0.217,0.368
5019,Cleburne,AR,0.08,0.091,0.08,0.231,0.518
39019,Clermont,OH,0.147,0.261,0.052,0.15,0.39
5021,Cleveland,AR,0.082,0.124,0.157,0.242,0.395
37039,Cleveland,NC,0.085,0.109,0.101,0.147,0.557
40021,Cleveland,OK,0.099,0.121,0.212,0.24,0.327
13059,Clinch,GA,0.054,0.057,0.06,0.226,0.603
19037,Clinton,IA,0.075,0.136,0.197,0.236,0.356
17019,Clinton,IL,0,0.067,0.08,0.192,0.661
18015,Clinton,IN,0.059,0.104,0.17,0.22,0.447
21045,Clinton,KY,0.164,0.076,0.161,0.154,0.444
26029,Clinton,MI,0.027,0.057,0.085,0.205,0.626
29041,Clinton,MO,0.117,0.141,0.084,0.278,0.38
36013,Clinton,NY,0.029,0.024,0.038,0.206,0.703
39021,Clinton,OH,0.084,0.051,0.274,0.269,0.321
42029,Clinton,PA,0.006,0.022,0.038,0.113,0.82
20021,Cloud,KS,0.131,0.121,0.164,0.174,0.41
28019,Coahoma,MS,0.035,0.094,0.064,0.219,0.588
40023,Coal,OK,0.064,0.113,0.119,0.251,0.454
13061,Cobb,GA,0.028,0.066,0.12,0.223,0.562
2290,Cochise,AZ,0.044,0.047,0.126,0.425,0.358
48073,Cochran,TX,0.123,0.063,0.148,0.192,0.475
47023,Cocke,TN,0.108,0.068,0.122,0.362,0.34
4001,Coconino,AZ,0.055,0.063,0.031,0.15,0.701
46023,Codington,SD,0.117,0.149,0.254,0.192,0.288
1031,Coffee,AL,0.101,0.152,0.094,0.186,0.466
13063,Coffee,GA,0.038,0.054,0.125,0.159,0.624
47025,Coffee,TN,0.163,0.114,0.091,0.236,0.397
20023,Coffey,KS,0.065,0.27,0.174,0.235,0.256
48075,Coke,TX,0.147,0.124,0.189,0.206,0.334
1033,Colbert,AL,0.082,0.096,0.152,0.159,0.51
29043,Cole,MO,0.13,0.113,0.053,0.253,0.451
48077,Coleman,TX,0.066,0.049,0.105,0.087,0.693
17021,Coles,IL,0.059,0.057,0.091,0.19,0.603
31031,Colfax,NE,0.158,0.042,0.095,0.377,0.328
35003,Colfax,NM,0.054,0.039,0.036,0.109,0.762
45023,Colleton,SC,0.151,0.065,0.055,0.23,0.5
12015,Collier,FL,0.051,0.049,0.101,0.158,0.64
48079,Collin,TX,0.029,0.078,0.068,0.229,0.595
48081,Collingsworth,TX,0.039,0.056,0.093,0.241,0.572
51550,Colonial Heights Cit,VA,0.018,0.025,0.095,0.182,0.68
48083,Colorado,TX,0.053,0.048,0.084,0.259,0.556
13065,Colquitt,GA,0.06,0.058,0.134,0.168,0.58
5023,Columbia,AR,0.036,0.065,0.093,0.259,0.546
12017,Columbia,FL,0.09,0.036,0.087,0.178,0.609
13067,Columbia,GA,0.039,0.049,0.116,0.225,0.572
36015,Columbia,NY,0.012,0.046,0.092,0.256,0.594
41003,Columbia,OR,0.007,0.007,0.059,0.156,0.77
42031,Columbia,PA,0.057,0.03,0.152,0.155,0.605
53013,Columbia,WA,0.08,0.031,0.079,0.223,0.586
55021,Columbia,WI,0.035,0.073,0.082,0.222,0.589
39023,Columbiana,OH,0.066,0.027,0.19,0.247,0.471
37041,Columbus,NC,0.044,0.011,0.152,0.296,0.497
6007,Colusa,CA,0.015,0.043,0.111,0.204,0.626
48085,Comal,TX,0.021,0.026,0.054,0.181,0.719
20025,Comanche,KS,0.163,0.13,0.126,0.232,0.348
40025,Comanche,OK,0.14,0.089,0.153,0.26,0.358
48087,Comanche,TX,0.239,0.142,0.176,0.16,0.284
48089,Concho,TX,0.004,0.044,0.078,0.228,0.645
22021,Concordia,LA,0.102,0.061,0.098,0.241,0.498
1035,Conecuh,AL,0.099,0.052,0.259,0.192,0.399
8015,Conejos,CO,0.038,0.045,0.134,0.138,0.645
6009,Contra Costa,CA,0.045,0.019,0.098,0.276,0.562
56009,Converse,WY,0.138,0.113,0.121,0.293,0.335
5025,Conway,AR,0.107,0.03,0.16,0.231,0.472
13069,Cook,GA,0.085,0.124,0.164,0.222,0.404
17023,Cook,IL,0.127,0.089,0.107,0.226,0.451
27023,Cook,MN,0.108,0.106,0.244,0.224,0.318
48091,Cooke,TX,0.007,0.044,0.063,0.146,0.74
29045,Cooper,MO,0.154,0.138,0.165,0.223,0.32
33001,Coos,NH,0.114,0.02,0.11,0.158,0.598
41005,Coos,OR,0.016,0.024,0.071,0.168,0.721
1037,Coosa,AL,0.055,0.131,0.167,0.263,0.384
28021,Copiah,MS,0.038,0.061,0.088,0.214,0.598
46025,Corson,SD,0.211,0.147,0.172,0.125,0.345
36017,Cortland,NY,0.048,0.045,0.015,0.156,0.735
48093,Coryell,TX,0.045,0.075,0.059,0.2,0.621
39025,Coshocton,OH,0.082,0.069,0.074,0.192,0.584
8017,Costilla,CO,0.016,0.187,0.106,0.398,0.292
48095,Cottle,TX,0.012,0.029,0.072,0.279,0.607
40027,Cotton,OK,0.046,0.101,0.079,0.25,0.524
27025,Cottonwood,MN,0.064,0.104,0.165,0.253,0.414
1039,Covington,AL,0.187,0.128,0.129,0.201,0.356
28023,Covington,MS,0.044,0.021,0.133,0.205,0.597
51570,Covington City,VA,0.044,0.045,0.126,0.177,0.608
13071,Coweta,GA,0.108,0.191,0.074,0.233,0.394
20027,Cowley,KS,0.081,0.069,0.115,0.229,0.507
53015,Cowlitz,WA,0.041,0.02,0.098,0.216,0.625
40029,Craig,OK,0.075,0.12,0.105,0.307,0.394
51037,Craig,VA,0.084,0.025,0.148,0.133,0.61
5027,Craighead,AR,0.241,0.072,0.054,0.25,0.383
48097,Crane,TX,0.118,0.026,0.056,0.207,0.594
37043,Craven,NC,0.099,0.091,0.095,0.169,0.546
5029,Crawford,AR,0.071,0.12,0.137,0.347,0.325
13073,Crawford,GA,0.061,0.064,0.095,0.234,0.547
19039,Crawford,IA,0.078,0.167,0.143,0.194,0.418
17025,Crawford,IL,0.062,0.115,0.145,0.306,0.372
18017,Crawford,IN,0.037,0.192,0.283,0.206,0.283
20029,Crawford,KS,0.154,0.077,0.118,0.217,0.434
26031,Crawford,MI,0.027,0.052,0.086,0.252,0.584
29047,Crawford,MO,0.033,0.037,0.076,0.199,0.655
39027,Crawford,OH,0.171,0.198,0.071,0.105,0.455
42033,Crawford,PA,0.051,0.055,0.176,0.206,0.512
55023,Crawford,WI,0.202,0.033,0.11,0.158,0.497
40031,Creek,OK,0.054,0.179,0.127,0.226,0.413
1041,Crenshaw,AL,0.06,0.091,0.199,0.233,0.416
13075,Crisp,GA,0.098,0.134,0.123,0.203,0.441
5031,Crittenden,AR,0.078,0.123,0.138,0.341,0.32
21047,Crittenden,KY,0.06,0.118,0.178,0.279,0.365
47027,Crockett,TN,0.099,0.105,0.264,0.126,0.406
48099,Crockett,TX,0.015,0.027,0.142,0.194,0.622
41007,Crook,OR,0.052,0.027,0.051,0.073,0.797
56011,Crook,WY,0.145,0.115,0.143,0.192,0.404
48101,Crosby,TX,0.107,0.106,0.188,0.176,0.423
5033,Cross,AR,0.155,0.1,0.167,0.211,0.367
27027,Crow Wing,MN,0.092,0.121,0.138,0.23,0.419
8019,Crowley,CO,0.002,0.015,0.138,0.123,0.723
48103,Culberson,TX,0.08,0.056,0.096,0.199,0.57
1043,Cullman,AL,0.13,0.024,0.249,0.217,0.379
51041,Culpeper,VA,0.026,0.03,0.08,0.216,0.649
17027,Cumberland,IL,0.102,0.063,0.083,0.166,0.587
21049,Cumberland,KY,0.083,0.093,0.11,0.233,0.48
22125,Cumberland,ME,0.072,0.13,0.037,0.265,0.496
37045,Cumberland,NC,0.062,0.121,0.094,0.151,0.573
34005,Cumberland,NJ,0.023,0.02,0.043,0.134,0.779
42035,Cumberland,PA,0.014,0.024,0.077,0.19,0.696
47029,Cumberland,TN,0.197,0.118,0.082,0.171,0.431
51043,Cumberland,VA,0.013,0.036,0.057,0.154,0.74
31033,Cuming,NE,0.116,0.159,0.164,0.338,0.223
37047,Currituck,NC,0.179,0.043,0.113,0.155,0.511
35005,Curry,NM,0.074,0.04,0.108,0.144,0.634
41009,Curry,OR,0.048,0.015,0.158,0.174,0.604
8021,Custer,CO,0.06,0.106,0.093,0.195,0.545
16029,Custer,ID,0.1,0.181,0.191,0.202,0.326
30009,Custer,MT,0.14,0.169,0.163,0.26,0.267
31035,Custer,NE,0.064,0.132,0.124,0.28,0.4
40033,Custer,OK,0.06,0.117,0.102,0.173,0.548
46027,Custer,SD,0.091,0.178,0.116,0.243,0.373
39029,Cuyahoga,OH,0.098,0.08,0.115,0.156,0.551
13077,Dade,GA,0.105,0.053,0.183,0.204,0.455
29049,Dade,MO,0.066,0.103,0.106,0.209,0.517
49003,Daggett,UT,0.084,0.116,0.111,0.27,0.419
27029,Dakota,MN,0.065,0.21,0.203,0.172,0.351
31037,Dakota,NE,0.054,0.089,0.228,0.287,0.341
1045,Dale,AL,0.089,0.113,0.118,0.22,0.46
48105,Dallam,TX,0.026,0.071,0.072,0.225,0.606
1047,Dallas,AL,0.095,0.1,0.159,0.122,0.524
5035,Dallas,AR,0.059,0.017,0.11,0.306,0.508
19041,Dallas,IA,0.224,0.035,0.112,0.189,0.441
29051,Dallas,MO,0.087,0.185,0.107,0.187,0.434
48107,Dallas,TX,0.031,0.071,0.058,0.227,0.613
55025,Dane,WI,0.017,0.02,0.092,0.23,0.641
30011,Daniels,MT,0.123,0.121,0.127,0.212,0.417
51580,Danville City,VA,0.184,0.017,0.133,0.188,0.478
37049,Dare,NC,0.034,0.068,0.212,0.215,0.47
39031,Darke,OH,0.077,0.194,0.294,0.178,0.258
45025,Darlington,SC,0.117,0.079,0.148,0.129,0.526
42037,Dauphin,PA,0.02,0.046,0.05,0.163,0.721
37051,Davidson,NC,0.028,0.047,0.1,0.175,0.649
47031,Davidson,TN,0.165,0.09,0.174,0.208,0.363
37053,Davie,NC,0.157,0.021,0.131,0.167,0.524
18019,Daviess,IN,0.068,0.06,0.141,0.228,0.501
21051,Daviess,KY,0.153,0.082,0.165,0.16,0.44
29053,Daviess,MO,0.06,0.09,0.127,0.183,0.54
19043,Davis,IA,0.123,0.084,0.137,0.284,0.371
49005,Davis,UT,0.09,0.108,0.08,0.31,0.411
46029,Davison,SD,0.185,0.144,0.25,0.117,0.305
31039,Dawes,NE,0.147,0.066,0.122,0.347,0.317
13079,Dawson,GA,0.057,0.051,0.231,0.192,0.468
30013,Dawson,MT,0.17,0.143,0.16,0.145,0.382
31041,Dawson,NE,0.143,0.104,0.112,0.328,0.314
48109,Dawson,TX,0.125,0.006,0.039,0.176,0.654
46031,Day,SD,0.144,0.19,0.134,0.285,0.247
35006,De Baca,NM,0.003,0.059,0.014,0.085,0.839
1049,De Kalb,AL,0.084,0.051,0.106,0.179,0.58
13083,De Kalb,GA,0.128,0.222,0.13,0.249,0.27
17029,De Kalb,IL,0.112,0.055,0.201,0.221,0.411
18025,De Kalb,IN,0.067,0.089,0.118,0.261,0.465
29055,De Kalb,MO,0.167,0.148,0.136,0.159,0.391
47035,De Kalb,TN,0.096,0.093,0.201,0.214,0.395
12019,De Soto,FL,0.055,0.067,0.15,0.209,0.52
22023,De Soto,LA,0.089,0.127,0.079,0.201,0.505
28025,De Soto,MS,0.029,0.082,0.098,0.214,0.577
17031,De Witt,IL,0.023,0.021,0.072,0.162,0.722
48111,Deaf Smith,TX,0.119,0.074,0.123,0.289,0.396
18021,Dearborn,IN,0.122,0.073,0.112,0.226,0.466
13081,Decatur,GA,0.119,0.023,0.06,0.163,0.635
19045,Decatur,IA,0.092,0.13,0.079,0.269,0.43
18023,Decatur,IN,0.088,0.033,0.132,0.285,0.462
20031,Decatur,KS,0.085,0.119,0.165,0.404,0.227
47033,Decatur,TN,0.14,0.078,0.123,0.226,0.432
30015,Deer Lodge,MT,0.196,0.135,0.171,0.152,0.346
39033,Defiance,OH,0.101,0.107,0.126,0.184,0.482
6011,Del Norte,CA,0.027,0.031,0.092,0.151,0.7
19047,Delaware,IA,0.089,0.045,0.141,0.064,0.66
18027,Delaware,IN,0.049,0.061,0.13,0.214,0.546
36019,Delaware,NY,0.017,0.024,0.102,0.084,0.773
39035,Delaware,OH,0.042,0.052,0.084,0.213,0.609
40035,Delaware,OK,0.247,0.113,0.236,0.112,0.292
42039,Delaware,PA,0.024,0.016,0.136,0.266,0.558
8023,Delta,CO,0.034,0.072,0.076,0.175,0.644
26033,Delta,MI,0.03,0.022,0.068,0.287,0.593
48113,Delta,TX,0.024,0.019,0.059,0.141,0.757
2068,Denali,AK,0.062,0.081,0.067,0.225,0.565
29057,Dent,MO,0.312,0.044,0.138,0.136,0.369
48115,Denton,TX,0.03,0.023,0.074,0.115,0.759
8025,Denver,CO,0.002,0.034,0.08,0.294,0.59
19049,Des Moines,IA,0.036,0.102,0.118,0.26,0.485
41011,Deschutes,OR,0.128,0.061,0.136,0.099,0.577
5037,Desha,AR,0.097,0.017,0.163,0.319,0.404
31043,Deuel,NE,0.113,0.167,0.131,0.163,0.425
46033,Deuel,SD,0.132,0.088,0.156,0.229,0.396
40037,Dewey,OK,0.154,0.074,0.145,0.212,0.415
46035,Dewey,SD,0.249,0.074,0.303,0.107,0.267
48117,DeWitt,TX,0.063,0.063,0.095,0.284,0.494
48119,Dickens,TX,0.04,0.074,0.094,0.285,0.507
51045,Dickenson,VA,0.017,0.022,0.148,0.182,0.632
38015,Dickey,ND,0.172,0.233,0.091,0.297,0.207
19051,Dickinson,IA,0.038,0.101,0.249,0.201,0.411
20033,Dickinson,KS,0.112,0.144,0.128,0.271,0.346
26035,Dickinson,MI,0.05,0.026,0.102,0.308,0.514
47037,Dickson,TN,0.02,0.037,0.086,0.181,0.677
2070,Dillingham,AK,0.072,0.025,0.027,0.391,0.484
45027,Dillon,SC,0.083,0.147,0.128,0.157,0.486
48121,Dimmit,TX,0.016,0.025,0.046,0.204,0.709
51047,Dinwiddie,VA,0.053,0.068,0.013,0.213,0.653
38017,Divide,ND,0.09,0.113,0.142,0.233,0.423
12021,Dixie,FL,0.04,0.023,0.067,0.212,0.658
31045,Dixon,NE,0.224,0.103,0.11,0.321,0.242
54017,Doddridge,WV,0.187,0.011,0.075,0.307,0.42
13085,Dodge,GA,0.049,0.09,0.128,0.162,0.571
27031,Dodge,MN,0.184,0.02,0.038,0.257,0.5
31047,Dodge,NE,0.096,0.114,0.115,0.348,0.328
55027,Dodge,WI,0.11,0.138,0.166,0.2,0.386
8027,Dolores,CO,0.017,0.098,0.153,0.234,0.498
35007,Dona Ana,NM,0.041,0.019,0.091,0.106,0.743
20035,Doniphan,KS,0.075,0.093,0.28,0.131,0.421
48123,Donley,TX,0.003,0.019,0.091,0.061,0.827
13087,Dooly,GA,0.093,0.04,0.171,0.18,0.516
55029,Door,WI,0.021,0.03,0.059,0.264,0.627
24011,Dorchester,MD,0.009,0.019,0.033,0.168,0.77
45029,Dorchester,SC,0.088,0.077,0.094,0.1,0.641
13089,Dougherty,GA,0.036,0.028,0.075,0.156,0.704
8029,Douglas,CO,0.087,0.094,0.074,0.295,0.45
13091,Douglas,GA,0.145,0.025,0.15,0.236,0.443
17033,Douglas,IL,0.146,0.196,0.047,0.219,0.392
20037,Douglas,KS,0.108,0.143,0.118,0.139,0.492
27033,Douglas,MN,0.216,0.045,0.262,0.215,0.263
29059,Douglas,MO,0.165,0.143,0.167,0.154,0.371
31049,Douglas,NE,0.093,0.147,0.138,0.267,0.355
31185,Douglas,NV,0.044,0.168,0.422,0.184,0.182
41013,Douglas,OR,0.019,0.075,0.027,0.246,0.633
46037,Douglas,SD,0.256,0.14,0.175,0.118,0.311
53017,Douglas,WA,0.067,0.047,0.042,0.271,0.573
55031,Douglas,WI,0.044,0.042,0.092,0.327,0.495
5039,Drew,AR,0.197,0.055,0.093,0.196,0.459
17035,Du Page,IL,0.095,0.075,0.194,0.212,0.424
18029,Dubois,IN,0.083,0.1,0.168,0.277,0.371
19053,Dubuque,IA,0.248,0.132,0.258,0.068,0.294
49007,Duchesne,UT,0.107,0.134,0.114,0.293,0.353
24510,Dukes,MA,0.024,0.032,0.063,0.148,0.733
31051,Dundy,NE,0.163,0.16,0.131,0.162,0.383
29061,Dunklin,MO,0.124,0.166,0.172,0.247,0.291
38019,Dunn,ND,0.146,0.272,0.165,0.222,0.195
55033,Dunn,WI,0.062,0.076,0.179,0.266,0.417
37055,Duplin,NC,0.028,0.005,0.102,0.194,0.671
37057,Durham,NC,0.058,0.085,0.169,0.134,0.554
36021,Dutchess,NY,0.014,0.004,0.029,0.104,0.848
12023,Duval,FL,0.047,0.026,0.288,0.254,0.385
48125,Duval,TX,0.032,0.071,0.111,0.254,0.532
47039,Dyer,TN,0.175,0.171,0.168,0.168,0.318
8031,Eagle,CO,0.02,0.018,0.062,0.194,0.707
13093,Early,GA,0.077,0.034,0.058,0.204,0.627
22025,East Baton Rouge,LA,0.11,0.056,0.086,0.147,0.6
22027,East Carroll,LA,0.146,0.068,0.04,0.273,0.473
22029,East Feliciana,LA,0.11,0.104,0.112,0.095,0.579
48127,Eastland,TX,0.021,0.059,0.097,0.133,0.69
26037,Eaton,MI,0.033,0.056,0.046,0.263,0.603
55035,Eau Claire,WI,0.042,0.076,0.203,0.255,0.424
13095,Echols,GA,0.033,0.037,0.045,0.159,0.726
48129,Ector,TX,0.139,0.065,0.147,0.21,0.439
38021,Eddy,ND,0.151,0.077,0.227,0.277,0.267
35009,Eddy,NM,0.011,0.129,0.111,0.209,0.54
17037,Edgar,IL,0.007,0.012,0.034,0.191,0.756
37059,Edgecombe,NC,0.074,0.067,0.037,0.14,0.681
45031,Edgefield,SC,0.153,0.083,0.114,0.103,0.548
21053,Edmonson,KY,0.096,0.115,0.248,0.165,0.375
46039,Edmunds,SD,0.136,0.111,0.275,0.169,0.309
17039,Edwards,IL,0.035,0.106,0.073,0.28,0.507
20039,Edwards,KS,0.163,0.118,0.211,0.235,0.273
48131,Edwards,TX,0.122,0.003,0.132,0.053,0.691
13097,Effingham,GA,0.083,0.037,0.09,0.198,0.591
17041,Effingham,IL,0.048,0.061,0.105,0.191,0.594
6013,El Dorado,CA,0.018,0.016,0.039,0.121,0.806
8035,El Paso,CO,0.013,0.041,0.081,0.192,0.673
48135,El Paso,TX,0.085,0.047,0.076,0.204,0.588
8033,Elbert,CO,0.052,0.039,0.066,0.252,0.591
13099,Elbert,GA,0.045,0.062,0.156,0.253,0.485
20041,Elk,KS,0.106,0.118,0.148,0.243,0.385
42041,Elk,PA,0.031,0.032,0.183,0.192,0.562
18031,Elkhart,IN,0.175,0.083,0.101,0.204,0.437
32001,Elko,NV,0.022,0.093,0.058,0.153,0.674
21055,Elliott,KY,0.121,0.117,0.29,0.153,0.319
20043,Ellis,KS,0.137,0.193,0.184,0.214,0.272
40039,Ellis,OK,0.006,0.274,0.413,0.13,0.177
48133,Ellis,TX,0.055,0.089,0.104,0.195,0.557
20045,Ellsworth,KS,0.006,0.009,0.024,0.227,0.734
1051,Elmore,AL,0.042,0.095,0.127,0.252,0.485
16031,Elmore,ID,0.134,0.223,0.102,0.149,0.392
13101,Emanuel,GA,0.097,0.073,0.182,0.202,0.446
49009,Emery,UT,0.091,0.296,0.102,0.33,0.181
19055,Emmet,IA,0.035,0.137,0.137,0.408,0.283
26039,Emmet,MI,0.043,0.05,0.061,0.181,0.666
38023,Emmons,ND,0.186,0.168,0.163,0.255,0.227
51590,Emporia City,VA,0.087,0.043,0.209,0.127,0.534
48137,Erath,TX,0.016,0.047,0.145,0.101,0.691
36023,Erie,NY,0.001,0.062,0.015,0.118,0.803
39037,Erie,OH,0.216,0.084,0.15,0.28,0.271
42043,Erie,PA,0.032,0.023,0.258,0.147,0.539
1053,Escambia,AL,0.114,0.026,0.188,0.285,0.387
12027,Escambia,FL,0.023,0.064,0.056,0.142,0.715
32003,Esmeralda,NV,0.027,0.032,0.054,0.145,0.742
25001,Essex,MA,0.019,0.007,0.026,0.109,0.839
34007,Essex,NJ,0.028,0.005,0.027,0.137,0.802
36025,Essex,NY,0.057,0.053,0.034,0.112,0.744
51049,Essex,VA,0.012,0.055,0.098,0.137,0.699
50003,Essex,VT,0.028,0.058,0.061,0.084,0.77
21057,Estill,KY,0.067,0.106,0.224,0.229,0.374
1055,Etowah,AL,0.096,0.103,0.178,0.122,0.501
32005,Eureka,NV,0.029,0.055,0.091,0.238,0.588
22031,Evangeline,LA,0.035,0.075,0.132,0.162,0.596
13103,Evans,GA,0.044,0.064,0.145,0.272,0.475
2090,Fairbanks North Star,AK,0.094,0.084,0.175,0.234,0.413
51051,Fairfax,VA,0.031,0.129,0.129,0.182,0.528
